id,lat,long,date,weekday,time,priority
109,32.5264,-117.0561,01/01/2014,Miercoles,12:59:00 am,NaN
110,32.5439,-116.9,01/01/2014,Miercoles,01:51:00 am,NaN
112,32.4731,-116.8651,01/01/2014,Miercoles,08:33:00 am,4
113,32.5149,-117.0382,01/01/2014,Miercoles,09:31:00 am,4
114,32.5149,-117.0382,01/01/2014,Miercoles,12:20:00 pm,4
115,32.5149,-117.0382,01/01/2014,Miercoles,01:02:00 pm,4
116,32.5149,-117.0382,01/01/2014,Miercoles,10:28:00 am,4
117,32.5149,-117.0382,01/01/2014,Miercoles,05:12:00 pm,4
118,32.4736,-116.9711,01/01/2014,Miercoles,01:41:00 pm,4
119,32.5149,-117.0382,01/01/2014,Miercoles,05:56:00 pm,4
120,32.5149,-117.0382,01/01/2014,Miercoles,08:19:00 pm,4
121,32.5149,-117.0382,01/01/2014,Miercoles,10:19:00 pm,4
122,32.5149,-117.0382,01/01/2014,Miercoles,11:09:00 pm,4
123,32.5328,-116.9874,01/02/2014,Jueves,03:42:00 am,4
124,32.5389,-117.0456,01/02/2014,Jueves,12:12:00 pm,4
125,32.5149,-117.0382,01/02/2014,Jueves,11:49:00 pm,4
126,32.546,-116.9756,01/02/2014,Jueves,05:03:00 pm,4
127,32.512,-117.0309,01/02/2014,Jueves,06:47:00 pm,4
128,32.5295,-117.0571,01/02/2014,Jueves,07:47:00 pm,3
129,32.5349,-117.0434,01/03/2014,Viernes,01:22:00 am,4
133,32.5149,-117.0382,01/01/2014,Miercoles,08:12:00 pm,4
134,32.4861,-117.018,01/01/2014,Miercoles,09:55:00 pm,4
136,32.5413,-116.8862,01/02/2014,Jueves,01:32:00 am,4
137,32.5065,-116.9647,01/02/2014,Jueves,05:04:00 am,4
138,32.5468,-116.9293,01/01/2014,Miercoles,12:13:00 am,4
139,32.5149,-117.0382,01/01/2014,Miercoles,01:57:00 am,4
140,32.4861,-116.9464,01/01/2014,Miercoles,03:16:00 am,4
141,32.479,-116.9147,01/01/2014,Miercoles,12:46:00 am,2
142,32.5149,-117.0382,01/01/2014,Miercoles,06:37:00 pm,4
143,32.5377,-116.9855,01/01/2014,Miercoles,07:58:00 pm,4
144,32.4467,-117.0149,01/01/2014,Miercoles,04:20:00 pm,4
145,32.5149,-117.0382,01/01/2014,Miercoles,05:40:00 pm,4
146,32.5149,-117.0382,01/01/2014,Miercoles,01:03:00 pm,NaN
147,32.4707,-116.9537,01/01/2014,Miercoles,06:41:00 pm,4
148,32.5021,-116.9535,01/03/2014,Viernes,08:20:00 am,4
149,32.5149,-117.0382,01/03/2014,Viernes,02:01:00 pm,4
150,32.5149,-117.0382,01/03/2014,Viernes,12:58:00 pm,4
151,32.5021,-116.9535,01/03/2014,Viernes,08:20:00 am,4
152,32.5149,-117.0382,01/03/2014,Viernes,02:39:00 pm,4
153,32.5149,-117.0382,01/03/2014,Viernes,09:36:00 am,3
154,32.5149,-117.0382,01/03/2014,Viernes,10:28:00 am,3
155,32.4998,-116.8547,01/03/2014,Viernes,11:58:00 am,2
156,32.5149,-117.0382,01/03/2014,Viernes,12:41:00 pm,2
157,32.5149,-117.0382,01/03/2014,Viernes,07:27:00 am,4
158,32.5119,-117.0404,01/03/2014,Viernes,03:26:00 pm,2
159,32.4926,-116.9004,01/03/2014,Viernes,01:36:00 pm,NaN
